adr_name,base_acc,f1_test_acc,f1_f1_score,f1_recall_scaore,f1_confusion_matrix,f1_n_estimators,f1_min_sample_split,f1_max_depth,acc_test_acc,acc_f1_score,acc_recall_scaore,acc_confusion_matrix,acc_n_estimators,acc_min_sample_split,acc_max_depth,rs_test_acc,rs_f1_score,rs_recall_scaore,rs_confusion_matrix,rs_n_estimators,rs_min_sample_split,rs_max_depth
ACUTEKIDNEYINJURY,0.8936959208899876,0.6666666666666666,0.06896551724137932,0.1111111111111111,"[[53 19]
 [ 8  1]]",1,3,9,0.7777777777777778,0.0,0.0,"[[63  9]
 [ 9  0]]",2,3,15,0.6666666666666666,0.06896551724137932,0.1111111111111111,"[[53 19]
 [ 8  1]]",1,3,9
AGRANULOCYTOSIS,0.8566131025957973,0.7530864197530864,0.37499999999999994,0.5,"[[55 14]
 [ 6  6]]",1,6,15,0.8148148148148148,0.34782608695652173,0.3333333333333333,"[[62  7]
 [ 8  4]]",12,3,17,0.5185185185185185,0.20408163265306126,0.4166666666666667,"[[37 32]
 [ 7  5]]",1,3,8
ANAPHYLACTICSHOCK,0.7206427688504327,0.5925925925925926,0.2978723404255319,0.30434782608695654,"[[41 17]
 [16  7]]",1,2,16,0.6049382716049383,0.19999999999999998,0.17391304347826086,"[[45 13]
 [19  4]]",2,2,17,0.43209876543209874,0.30303030303030304,0.43478260869565216,"[[25 33]
 [13 10]]",1,7,8
ATRIALFIBRILLATION,0.8800988875154512,0.7407407407407407,0.36363636363636365,0.6,"[[54 17]
 [ 4  6]]",1,9,8,0.8518518518518519,0.25,0.2,"[[67  4]
 [ 8  2]]",2,3,14,0.7407407407407407,0.36363636363636365,0.6,"[[54 17]
 [ 4  6]]",1,9,8
CARDIACDISORDER,0.8640296662546354,0.691358024691358,0.19354838709677416,0.2727272727272727,"[[53 17]
 [ 8  3]]",11,4,17,0.7160493827160493,0.0,0.0,"[[58 12]
 [11  0]]",2,2,17,0.6296296296296297,0.0625,0.09090909090909091,"[[50 20]
 [10  1]]",1,5,8
CARDIACFAILURE,0.8986402966625464,0.7530864197530864,0.28571428571428575,0.5,"[[57 16]
 [ 4  4]]",9,6,14,0.7901234567901234,0.1904761904761905,0.25,"[[62 11]
 [ 6  2]]",2,4,17,0.6790123456790124,0.1875,0.375,"[[52 21]
 [ 5  3]]",1,7,8
CEREBROVASCULARACCIDENT,0.896168108776267,0.7654320987654321,0.1739130434782609,0.25,"[[60 13]
 [ 6  2]]",3,2,15,0.8271604938271605,0.125,0.125,"[[66  7]
 [ 7  1]]",4,2,17,0.7530864197530864,0.23076923076923078,0.375,"[[58 15]
 [ 5  3]]",1,8,8
ERYTHEMAMULTIFORME,0.8491965389369592,0.7407407407407407,0.27586206896551724,0.3333333333333333,"[[56 13]
 [ 8  4]]",6,5,8,0.7654320987654321,0.17391304347826086,0.16666666666666666,"[[60  9]
 [10  2]]",2,2,16,0.7283950617283951,0.3529411764705882,0.5,"[[53 16]
 [ 6  6]]",1,4,10
HEPATICFAILURE,0.8813349814585909,0.7407407407407407,0.22222222222222224,0.3,"[[57 14]
 [ 7  3]]",5,9,12,0.7777777777777778,0.1818181818181818,0.2,"[[61 10]
 [ 8  2]]",2,2,17,0.5555555555555556,0.3076923076923077,0.8,"[[37 34]
 [ 2  8]]",1,6,8
JAUNDICE,0.8491965389369592,0.7283950617283951,0.08333333333333333,0.08333333333333333,"[[58 11]
 [11  1]]",5,6,11,0.8148148148148148,0.2105263157894737,0.16666666666666666,"[[64  5]
 [10  2]]",2,6,15,0.6419753086419753,0.3255813953488372,0.5833333333333334,"[[45 24]
 [ 5  7]]",1,2,8
LEUKOPENIA,0.754017305315204,0.5185185185185185,0.3389830508474576,0.5,"[[32 29]
 [10 10]]",1,8,8,0.6296296296296297,0.25,0.25,"[[46 15]
 [15  5]]",2,2,14,0.5185185185185185,0.3389830508474576,0.5,"[[32 29]
 [10 10]]",1,8,8
MYOCARDIALINFARCTION,0.8566131025957973,0.691358024691358,0.32432432432432434,0.5,"[[50 19]
 [ 6  6]]",1,6,10,0.8024691358024691,0.2727272727272727,0.25,"[[62  7]
 [ 9  3]]",2,3,16,0.7283950617283951,0.3529411764705882,0.5,"[[53 16]
 [ 6  6]]",1,2,8
NEUTROPENIA,0.8108776266996292,0.5308641975308642,0.20833333333333331,0.3333333333333333,"[[38 28]
 [10  5]]",1,9,13,0.7037037037037037,0.20000000000000004,0.2,"[[54 12]
 [12  3]]",2,2,16,0.6419753086419753,0.21621621621621623,0.26666666666666666,"[[48 18]
 [11  4]]",1,2,10
PALPITATIONS,0.754017305315204,0.6666666666666666,0.3076923076923077,0.3,"[[48 13]
 [14  6]]",1,2,10,0.7037037037037037,0.2,0.15,"[[54  7]
 [17  3]]",2,4,17,0.49382716049382713,0.2807017543859649,0.4,"[[32 29]
 [12  8]]",1,4,8
PANCREATITIS,0.830655129789864,0.6790123456790124,0.23529411764705882,0.2857142857142857,"[[51 16]
 [10  4]]",5,4,9,0.691358024691358,0.1379310344827586,0.14285714285714285,"[[54 13]
 [12  2]]",2,2,15,0.6790123456790124,0.23529411764705882,0.2857142857142857,"[[51 16]
 [10  4]]",5,4,9
PANCYTOPENIA,0.8949320148331273,0.8024691358024691,0.27272727272727276,0.3333333333333333,"[[62 10]
 [ 6  3]]",7,10,10,0.8148148148148148,0.11764705882352941,0.1111111111111111,"[[65  7]
 [ 8  1]]",2,2,16,0.7407407407407407,0.16,0.2222222222222222,"[[58 14]
 [ 7  2]]",1,10,11
PNEUMONIA,0.8108776266996292,0.6666666666666666,0.2285714285714286,0.26666666666666666,"[[50 16]
 [11  4]]",3,5,10,0.7407407407407407,0.0,0.0,"[[60  6]
 [15  0]]",2,2,17,0.654320987654321,0.2222222222222222,0.26666666666666666,"[[49 17]
 [11  4]]",1,5,9
RENALFAILURE,0.8936959208899876,0.7901234567901234,0.1904761904761905,0.2222222222222222,"[[62 10]
 [ 7  2]]",7,3,13,0.8148148148148148,0.11764705882352941,0.1111111111111111,"[[65  7]
 [ 8  1]]",4,2,17,0.7160493827160493,0.20689655172413793,0.3333333333333333,"[[55 17]
 [ 6  3]]",1,2,10
SEIZURE,0.7725587144622992,0.5679012345679012,0.2857142857142857,0.3888888888888889,"[[39 24]
 [11  7]]",2,2,8,0.691358024691358,0.358974358974359,0.3888888888888889,"[[49 14]
 [11  7]]",2,2,12,0.5679012345679012,0.2857142857142857,0.3888888888888889,"[[39 24]
 [11  7]]",2,2,8
STEVENSJOHNSONSYNDROME,0.788627935723115,0.5802469135802469,0.3928571428571429,0.6470588235294118,"[[36 28]
 [ 6 11]]",1,2,10,0.7160493827160493,0.20689655172413793,0.17647058823529413,"[[55  9]
 [14  3]]",2,5,17,0.5802469135802469,0.3928571428571429,0.6470588235294118,"[[36 28]
 [ 6 11]]",1,2,10
TACHYCARDIA,0.7330037082818295,0.6790123456790124,0.5185185185185185,0.6363636363636364,"[[41 18]
 [ 8 14]]",5,2,9,0.7283950617283951,0.4210526315789474,0.36363636363636365,"[[51  8]
 [14  8]]",2,3,14,0.5432098765432098,0.27450980392156865,0.3181818181818182,"[[37 22]
 [15  7]]",1,8,8
THROMBOCYTOPENIA,0.681087762669963,0.6172839506172839,0.5079365079365079,0.6153846153846154,"[[34 21]
 [10 16]]",12,9,10,0.6790123456790124,0.5,0.5,"[[42 13]
 [13 13]]",2,2,15,0.5802469135802469,0.34615384615384615,0.34615384615384615,"[[38 17]
 [17  9]]",1,9,10
TOXICEPIDERMALNECROLYSIS,0.8430160692212608,0.7901234567901234,0.3703703703703704,0.38461538461538464,"[[59  9]
 [ 8  5]]",3,2,16,0.7407407407407407,0.3225806451612903,0.38461538461538464,"[[55 13]
 [ 8  5]]",2,2,14,0.6419753086419753,0.32558139534883723,0.5384615384615384,"[[45 23]
 [ 6  7]]",1,2,10
